timestep,month,day,day_name,day_of_week,hour,minute,direct_solar_radiation,outdoor_air_temperature,average_indoor_air_temperature,occupant_count,cooling_load,heating_load
1,1,1,Monday,1,1,0,0.0,-3.3,18.76194401981612,2.0,0.0,5651.0009856734505
2,1,1,Monday,1,2,0,0.0,-3.3,20.099759733829735,2.0,0.0,7698.465772004066
3,1,1,Monday,1,3,0,0.0,-3.3,17.779904234629996,2.0,0.0,4134.4920359048065
4,1,1,Monday,1,4,0,0.0,-3.3,19.967024317454104,2.0,0.0,5949.194249885217
5,1,1,Monday,1,5,0,0.0,-3.3,21.66874613162022,2.0,0.0,9185.723089673991
6,1,1,Monday,1,6,0,0.0,-3.3,22.29178674323567,2.0,0.0,9213.14455666297
7,1,1,Monday,1,7,0,0.0,-3.3,17.90311700009507,2.0,0.0,2660.1445268116577
8,1,1,Monday,1,8,0,0.0,-3.9,17.651588952105342,2.0,0.0,3862.3823521783997
9,1,1,Monday,1,9,0,22.0,-3.9,15.880818053748053,1.0,0.0,2582.4891109618875
10,1,1,Monday,1,10,0,36.0,-3.3,20.174978891479192,0.0,0.0,6568.178957736746
11,1,1,Monday,1,11,0,83.0,-3.3,16.36314458010127,0.0,0.0,2271.58200056083
12,1,1,Monday,1,12,0,234.5,-1.7,19.52010304057161,0.0,0.0,5409.666274992177
13,1,1,Monday,1,13,0,100.0,-1.1,19.075059060086314,0.0,0.0,4869.240338904533
14,1,1,Monday,1,14,0,68.0,-1.1,17.441376065681784,0.0,0.0,3179.719777316055
15,1,1,Monday,1,15,0,34.0,-0.6,19.549094080415497,0.0,0.0,4183.647538847148
16,1,1,Monday,1,16,0,41.5,-0.6,19.833044021926824,0.0,0.0,4939.384603233512
17,1,1,Monday,1,17,0,270.0,0.0,16.84682654371548,0.0,0.0,1345.1696702307688
18,1,1,Monday,1,18,0,65.5,-1.1,19.383796500119484,2.0,0.0,4741.29098227502
19,1,1,Monday,1,19,0,0.0,-1.7,18.29582649814001,2.0,0.0,3567.596826266797
20,1,1,Monday,1,20,0,0.0,-1.1,19.725588764646183,2.0,0.0,4514.420913736815
21,1,1,Monday,1,21,0,0.0,-1.7,19.703358357111767,2.0,0.0,5218.77876547713
22,1,1,Monday,1,22,0,0.0,-1.7,18.478302168769574,2.0,0.0,3607.3537181388733
23,1,1,Monday,1,23,0,0.0,-1.7,17.504867959664725,2.0,0.0,2894.366338673736
24,1,1,Monday,1,24,0,0.0,-1.7,15.584194192968543,2.0,0.0,2068.7236913474626
25,1,2,Tuesday,2,1,0,0.0,-1.7,18.21088061547546,2.0,0.0,4742.6563973021575
26,1,2,Tuesday,2,2,0,0.0,-1.7,17.689457143563782,2.0,0.0,4629.676478353038
27,1,2,Tuesday,2,3,0,0.0,-1.7,17.79609131197032,2.0,0.0,4760.598727082195
28,1,2,Tuesday,2,4,0,0.0,-1.7,16.13308896456921,2.0,0.0,2968.788599531739
29,1,2,Tuesday,2,5,0,0.0,-2.2,17.490390028059572,2.0,0.0,4308.102604174036
30,1,2,Tuesday,2,6,0,0.0,-2.2,20.26109491619341,2.0,0.0,8286.727476419863
31,1,2,Tuesday,2,7,0,0.0,-2.2,20.918456624023705,2.0,0.0,8363.307522653258
32,1,2,Tuesday,2,8,0,0.0,-2.2,20.098942038563553,2.0,0.0,6362.519652440408
33,1,2,Tuesday,2,9,0,279.5,-1.7,20.311228815861654,2.0,0.0,5592.156641516252
34,1,2,Tuesday,2,10,0,89.5,-1.7,23.547253604562016,1.0,0.0,9372.952632123479
35,1,2,Tuesday,2,11,0,0.0,-0.6,20.975994955560942,1.0,0.0,5005.086442845488
36,1,2,Tuesday,2,12,0,0.5,-0.6,17.84512339044161,0.0,0.0,2083.8986725533437
37,1,2,Tuesday,2,13,0,1.0,-0.6,21.15859027729538,0.0,0.0,5772.487011117582
38,1,2,Tuesday,2,14,0,0.5,0.0,19.706437155979195,0.0,0.0,4543.931465746396
39,1,2,Tuesday,2,15,0,0.0,0.0,18.23922874425957,0.0,0.0,2790.461324684691
40,1,2,Tuesday,2,16,0,2.5,-1.4,16.70816490728215,0.0,0.0,2537.3396339123283
41,1,2,Tuesday,2,17,0,99.5,-1.7,18.013309871593258,1.0,0.0,3552.4907533537735
42,1,2,Tuesday,2,18,0,38.5,-1.7,18.452217237031974,1.0,0.0,4503.499071799674
43,1,2,Tuesday,2,19,0,0.0,-1.95,17.995692631764467,0.0,0.0,4371.28066555652
44,1,2,Tuesday,2,20,0,0.0,-2.2,20.219789066636583,2.0,0.0,5755.950617650083
45,1,2,Tuesday,2,21,0,0.0,-2.2,19.387659436050733,2.0,0.0,5197.727090047579
46,1,2,Tuesday,2,22,0,0.0,-2.8,21.29966217362715,2.0,0.0,6073.969214656843
47,1,2,Tuesday,2,23,0,0.0,-2.8,20.118831890923815,2.0,0.0,5930.160163261675
48,1,2,Tuesday,2,24,0,0.0,-3.3,17.438251058013165,2.0,0.0,3108.8066765438743
49,1,3,Wednesday,3,1,0,0.0,-3.9,16.908818652329565,2.0,0.0,3402.456571556242
50,1,3,Wednesday,3,2,0,0.0,-3.9,18.096834656089023,2.0,0.0,5041.104049367754
51,1,3,Wednesday,3,3,0,0.0,-4.4,15.912004314968708,2.0,0.0,3343.41716322735
52,1,3,Wednesday,3,4,0,0.0,-4.4,15.484601282219868,2.0,0.0,3430.106517486737
53,1,3,Wednesday,3,5,0,0.0,-5.0,18.02793114466376,2.0,0.0,6219.600761853969
54,1,3,Wednesday,3,6,0,0.0,-5.6,14.613580814138038,2.0,0.0,2678.66374006065
55,1,3,Wednesday,3,7,0,0.0,-5.0,18.16568073871695,2.0,0.0,4915.0093149677505
56,1,3,Wednesday,3,8,0,0.0,-4.4,17.532059937637932,2.0,0.0,5924.489596868683
57,1,3,Wednesday,3,9,0,492.0,-2.2,19.532244194307268,1.0,0.0,5680.1896444765825
58,1,3,Wednesday,3,10,0,596.5,0.6,19.898673065421033,0.0,0.0,5670.650996510734
59,1,3,Wednesday,3,11,0,834.5,3.3,19.7634040165387,0.0,0.0,3923.281794932712
60,1,3,Wednesday,3,12,0,978.5,6.1,19.14852221564445,0.0,25.727934418615934,2104.5318064128414
61,1,3,Wednesday,3,13,0,951.0,8.9,18.49818893566047,0.0,0.0,771.1463310070347
62,1,3,Wednesday,3,14,0,988.0,11.1,18.748086857725557,0.0,0.0,643.2236788823118
63,1,3,Wednesday,3,15,0,960.0,12.8,18.874097113338895,1.0,580.697740238452,0.0
64,1,3,Wednesday,3,16,0,898.0,13.3,18.392256703988647,1.0,1617.031276028151,0.0
65,1,3,Wednesday,3,17,0,774.5,12.8,18.931787142189428,1.0,1099.4000198335245,0.0
66,1,3,Wednesday,3,18,0,423.5,11.1,19.547727400118976,1.0,251.42670357937405,133.32816232491223
67,1,3,Wednesday,3,19,0,0.0,10.0,19.75657905631245,2.0,16.491497951736342,225.87255902441976
68,1,3,Wednesday,3,20,0,0.0,8.3,19.661160037811463,2.0,0.0,524.8894426764352
69,1,3,Wednesday,3,21,0,0.0,5.6,20.047130255944246,2.0,0.0,1391.3731543324002
70,1,3,Wednesday,3,22,0,0.0,4.4,18.528650036773463,2.0,0.0,974.5957391212459
71,1,3,Wednesday,3,23,0,0.0,2.2,18.789062198157943,2.0,0.0,1966.3290778187493
72,1,3,Wednesday,3,24,0,0.0,0.6,19.016470407054,2.0,0.0,2699.9174860375665
73,1,4,Thursday,4,1,0,0.0,0.6,19.385226918630472,2.0,0.0,3310.111619050627
74,1,4,Thursday,4,2,0,0.0,0.6,18.445340811022582,2.0,0.0,2692.863801648489
75,1,4,Thursday,4,3,0,0.0,-0.6,19.441469589343857,2.0,0.0,3824.5226723922456
76,1,4,Thursday,4,4,0,0.0,1.7,16.904228167771443,2.0,0.0,1198.3572558429926
77,1,4,Thursday,4,5,0,0.0,0.6,15.971231737537886,2.0,0.0,1389.67161181624
78,1,4,Thursday,4,6,0,0.0,1.1,16.30634869167276,2.0,0.0,2035.8141046232327
