cooling,heating
-0.0,5651.0009856734505
-0.0,7698.465772004066
-0.0,4134.4920359048065
-0.0,5949.194249885217
-0.0,9185.723089673991
-0.0,9213.14455666297
-0.0,2660.1445268116577
-0.0,3862.3823521783997
-0.0,2582.4891109618875
-0.0,6568.178957736746
-0.0,2271.58200056083
-0.0,5409.666274992177
-0.0,4869.240338904533
-0.0,3179.719777316055
-0.0,4183.647538847148
-0.0,4939.384603233512
-0.0,1345.1696702307688
-0.0,4741.29098227502
-0.0,3567.596826266797
-0.0,4514.420913736815
-0.0,5218.77876547713
-0.0,3607.3537181388733
-0.0,2894.366338673736
-0.0,2068.7236913474626
-0.0,4742.6563973021575
-0.0,4629.676478353038
-0.0,4760.598727082195
-0.0,2968.788599531739
-0.0,4308.102604174036
-0.0,8286.727476419863
-0.0,8363.307522653258
-0.0,6362.519652440408
-0.0,5592.156641516252
-0.0,9372.952632123479
-0.0,5005.086442845488
-0.0,2083.8986725533437
-0.0,5772.487011117582
-0.0,4543.931465746396
-0.0,2790.461324684691
-0.0,2537.3396339123283
-0.0,3552.4907533537735
-0.0,4503.499071799674
-0.0,4371.28066555652
-0.0,5755.950617650083
-0.0,5197.727090047579
-0.0,6073.969214656843
-0.0,5930.160163261675
-0.0,3108.8066765438743
-0.0,3402.456571556242
-0.0,5041.104049367754
-0.0,3343.41716322735
-0.0,3430.106517486737
-0.0,6219.600761853969
-0.0,2678.66374006065
-0.0,4915.0093149677505
-0.0,5924.489596868683
-0.0,5680.1896444765825
-0.0,5670.650996510734
-0.0,3923.281794932712
-25.727934418615934,2104.5318064128414
-0.0,771.1463310070347
-0.0,643.2236788823118
-580.697740238452,0.0
-1617.031276028151,0.0
-1099.4000198335245,0.0
-251.42670357937405,133.32816232491223
-16.491497951736342,225.87255902441976
-0.0,524.8894426764352
-0.0,1391.3731543324002
-0.0,974.5957391212459
-0.0,1966.3290778187493
-0.0,2699.9174860375665
-0.0,3310.111619050627
-0.0,2692.863801648489
-0.0,3824.5226723922456
-0.0,1198.3572558429926
-0.0,1389.67161181624
-0.0,2035.8141046232327
-0.0,2165.625198490257
-0.0,2439.559651618961
-0.0,2031.004763173082
-0.0,2401.6854000018548
-0.0,926.549980893623
-0.0,1863.5223933433558
-0.0,968.1452073479882
-0.0,648.6015543078058
-0.0,539.2609252863066
-260.6767434990543,0.0
-1406.675793036135,0.0
-49.642323185297634,1261.305657491142
-0.0,2088.2884343035375
-0.0,1190.5255095363555
-0.0,1231.9621005321817
-231.76674927950017,400.3164071406348
-0.0,402.8573319716189
-0.0,1366.9581995314934
-0.0,1065.4763963738912
-0.0,1046.5763367056707
-0.0,1693.5822153415238
-0.0,1001.4120715491733
-0.0,998.6233545100785
-0.0,2511.2898720284634
-0.0,1204.5693130933614
-0.0,2026.2242644292194
-0.0,3188.639914091888
-0.0,1924.5167280247192
-76.96351602232836,106.86319046188316
-277.58166221966286,0.0
-1043.9338519330545,24.029417776037143
-1872.6527342574373,0.0
-1606.7305754443232,0.0
-1781.4869152060292,0.0
-1168.4217062108823,0.0
-865.0432815817045,0.0
-119.85401391638042,777.6726816783059
-0.0,209.3542643326552
-69.94511384619724,65.71153086256977
-741.5837280329363,0.0
-1460.807158604427,0.0
-134.4009888691592,0.0
-0.0,418.9435043526431
-0.0,1690.887737455499
-0.0,1579.1091981278548
-0.0,1646.4540205419319
-0.0,1719.7272284736227
-0.0,2232.0158146604604
-0.0,2623.779783086705
-0.0,1571.4777852822647
-0.0,894.8302595705951
-0.0,740.2991353178566
