timestep,month,day,day_name,day_of_week,hour,minute,direct_solar_radiation,outdoor_air_temperature,average_indoor_air_temperature,occupant_count,cooling_load,heating_load
1,1,1,Monday,1,1,0,0.0,-3.3,19.343749280760868,2.0,0.0,4994.528759172505
2,1,1,Monday,1,2,0,0.0,-3.3,22.178122930268067,2.0,0.0,7800.090094847512
3,1,1,Monday,1,3,0,0.0,-3.3,17.305585091825844,2.0,0.0,1754.6560020707707
4,1,1,Monday,1,4,0,0.0,-3.3,17.36703623601933,2.0,0.0,4238.596174326543
5,1,1,Monday,1,5,0,0.0,-3.3,16.0405622554863,2.0,0.0,2995.240568921606
6,1,1,Monday,1,6,0,0.0,-3.3,14.959140870069314,2.0,0.0,2543.695301690956
7,1,1,Monday,1,7,0,0.0,-3.3,15.132419243466103,2.0,0.0,3135.042337531812
8,1,1,Monday,1,8,0,0.0,-3.9,16.881898816248583,2.0,0.0,5129.761192435504
9,1,1,Monday,1,9,0,22.0,-3.9,17.665547965900117,1.0,0.0,5937.990144729853
10,1,1,Monday,1,10,0,36.0,-3.3,19.143544668676824,0.0,0.0,7550.824599474551
11,1,1,Monday,1,11,0,83.0,-3.3,19.035763407921475,0.0,0.0,6645.42012739065
12,1,1,Monday,1,12,0,234.5,-1.7,20.85346346593549,0.0,0.0,7250.611990797189
13,1,1,Monday,1,13,0,100.0,-1.1,19.533581157893458,0.0,0.0,4869.240338904533
14,1,1,Monday,1,14,0,68.0,-1.1,21.66962188945831,0.0,0.0,7048.957480672108
15,1,1,Monday,1,15,0,34.0,-0.6,17.676638638460897,0.0,0.0,1415.5063132825753
16,1,1,Monday,1,16,0,41.5,-0.6,20.56348649703968,0.0,0.0,5427.739457390421
17,1,1,Monday,1,17,0,270.0,0.0,19.289045599954257,0.0,0.0,3565.723660732858
18,1,1,Monday,1,18,0,65.5,-1.1,20.780450299062224,2.0,0.0,4740.283658246705
19,1,1,Monday,1,19,0,0.0,-1.7,18.270641820029823,2.0,0.0,2672.0740469858465
20,1,1,Monday,1,20,0,0.0,-1.1,18.291416500181953,2.0,0.0,2957.9411043372183
21,1,1,Monday,1,21,0,0.0,-1.7,22.970288101564336,2.0,0.0,7416.105881848186
22,1,1,Monday,1,22,0,0.0,-1.7,20.51247961497181,2.0,0.0,4701.074790457304
23,1,1,Monday,1,23,0,0.0,-1.7,17.93206242877364,2.0,0.0,2332.8146660019815
24,1,1,Monday,1,24,0,0.0,-1.7,20.11379845011354,2.0,0.0,5053.225605206143
25,1,2,Tuesday,2,1,0,0.0,-1.7,20.864800218119328,2.0,0.0,6815.732517043678
26,1,2,Tuesday,2,2,0,0.0,-1.7,21.450867689931457,2.0,0.0,7187.338141868226
27,1,2,Tuesday,2,3,0,0.0,-1.7,17.47985584926682,2.0,0.0,1994.985528274402
28,1,2,Tuesday,2,4,0,0.0,-1.7,15.81892269391353,2.0,0.0,1724.0697259636145
29,1,2,Tuesday,2,5,0,0.0,-2.2,15.943251409887768,2.0,0.0,2747.68378601942
30,1,2,Tuesday,2,6,0,0.0,-2.2,18.482368896897228,2.0,0.0,5144.041580508996
31,1,2,Tuesday,2,7,0,0.0,-2.2,17.932278627658235,2.0,0.0,5018.806820611465
32,1,2,Tuesday,2,8,0,0.0,-2.2,17.647323600023412,2.0,0.0,4559.425026911174
33,1,2,Tuesday,2,9,0,279.5,-1.7,22.727287710791074,2.0,0.0,9176.982609472892
34,1,2,Tuesday,2,10,0,89.5,-1.7,20.984521604941285,1.0,0.0,6609.038693753688
35,1,2,Tuesday,2,11,0,0.0,-0.6,20.41701390511114,1.0,0.0,5005.086442845488
36,1,2,Tuesday,2,12,0,0.5,-0.6,18.939446151260622,0.0,0.0,3602.096284160586
37,1,2,Tuesday,2,13,0,1.0,-0.6,21.774481527439836,0.0,0.0,5992.623561983464
38,1,2,Tuesday,2,14,0,0.5,0.0,21.497255299171087,0.0,0.0,6672.654033439799
39,1,2,Tuesday,2,15,0,0.0,0.0,17.41203753959539,0.0,0.0,1127.0091009723437
40,1,2,Tuesday,2,16,0,2.5,-1.4,20.083409111974024,0.0,0.0,5569.912406774107
41,1,2,Tuesday,2,17,0,99.5,-1.7,21.442429484496206,1.0,0.0,6884.872949219137
42,1,2,Tuesday,2,18,0,38.5,-1.7,21.13608894246421,1.0,0.0,6068.158383612706
43,1,2,Tuesday,2,19,0,0.0,-1.95,19.57191607966616,0.0,0.0,4472.610479465596
44,1,2,Tuesday,2,20,0,0.0,-2.2,24.38362274676539,2.0,0.0,8087.059158633328
45,1,2,Tuesday,2,21,0,0.0,-2.2,19.64869910600178,2.0,0.0,2455.9639299260116
46,1,2,Tuesday,2,22,0,0.0,-2.8,20.4623142898272,2.0,0.0,3742.07561831039
47,1,2,Tuesday,2,23,0,0.0,-2.8,23.162485519843756,2.0,0.0,8317.981553148127
48,1,2,Tuesday,2,24,0,0.0,-3.3,19.051088218518494,2.0,0.0,3172.0496183468554
49,1,3,Wednesday,3,1,0,0.0,-3.9,19.587574684679645,2.0,0.0,4937.045912247599
50,1,3,Wednesday,3,2,0,0.0,-3.9,16.539475458022636,2.0,0.0,2594.863103545895
51,1,3,Wednesday,3,3,0,0.0,-4.4,14.63022161593711,2.0,0.0,1861.343078572446
52,1,3,Wednesday,3,4,0,0.0,-4.4,17.852804305154475,2.0,0.0,5894.360774273878
53,1,3,Wednesday,3,5,0,0.0,-5.0,15.747539263684903,2.0,0.0,3637.152855610216
54,1,3,Wednesday,3,6,0,0.0,-5.6,15.893854148654516,2.0,0.0,4262.836762767183
55,1,3,Wednesday,3,7,0,0.0,-5.0,17.484962670543844,2.0,0.0,4971.26505117765
56,1,3,Wednesday,3,8,0,0.0,-4.4,14.353731547671913,2.0,0.0,2219.9510598326146
57,1,3,Wednesday,3,9,0,492.0,-2.2,19.35395903068941,1.0,0.0,4857.282802658788
58,1,3,Wednesday,3,10,0,596.5,0.6,16.821762961478218,0.0,0.0,2130.195635665556
59,1,3,Wednesday,3,11,0,834.5,3.3,19.052161283124615,0.0,0.0,3482.206008077642
60,1,3,Wednesday,3,12,0,978.5,6.1,18.475571492112277,0.0,26.029161768894074,2129.172048777697
61,1,3,Wednesday,3,13,0,951.0,8.9,17.537331004011083,0.0,0.0,415.3195156648988
62,1,3,Wednesday,3,14,0,988.0,11.1,17.943915615008727,0.0,0.0,458.0177506204652
63,1,3,Wednesday,3,15,0,960.0,12.8,18.03715077333431,1.0,748.5261995219166,0.0
64,1,3,Wednesday,3,16,0,898.0,13.3,18.295101731382033,1.0,1291.1623616881002,0.0
65,1,3,Wednesday,3,17,0,774.5,12.8,19.210460814602733,1.0,537.8788855840749,0.0
66,1,3,Wednesday,3,18,0,423.5,11.1,19.398511871872973,1.0,286.02823524822423,151.67688410091338
