timestep,month,day,day_name,day_of_week,hour,minute,direct_solar_radiation,outdoor_air_temperature,average_indoor_air_temperature,occupant_count,cooling_load,heating_load
1,1,1,Monday,1,1,0,0.0,-3.3,18.14558110783508,2.0,0.0,5144.630966156323
2,1,1,Monday,1,2,0,0.0,-3.3,15.290698994937825,2.0,0.0,2004.7660576058374
3,1,1,Monday,1,3,0,0.0,-3.3,18.481198693428023,2.0,0.0,5845.7331851311865
4,1,1,Monday,1,4,0,0.0,-3.3,18.299255352071043,2.0,0.0,5329.711522918232
5,1,1,Monday,1,5,0,0.0,-3.3,18.014482331032973,2.0,0.0,5265.154853575309
6,1,1,Monday,1,6,0,0.0,-3.3,17.28020854941559,2.0,0.0,4518.065449840933
7,1,1,Monday,1,7,0,0.0,-3.3,15.925105153084782,2.0,0.0,3278.9671158567685
8,1,1,Monday,1,8,0,0.0,-3.9,21.21484000746966,2.0,0.0,7637.713480637911
9,1,1,Monday,1,9,0,22.0,-3.9,18.65610757679317,1.0,0.0,4994.283666363193
10,1,1,Monday,1,10,0,36.0,-3.3,18.25675047752059,0.0,0.0,4823.779027216255
11,1,1,Monday,1,11,0,83.0,-3.3,20.913770754315202,0.0,0.0,7772.399421940913
12,1,1,Monday,1,12,0,234.5,-1.7,20.280138284125595,0.0,0.0,5992.523995494523
13,1,1,Monday,1,13,0,100.0,-1.1,17.546392034635016,0.0,0.0,2378.1950398249246
14,1,1,Monday,1,14,0,68.0,-1.1,19.407223535062855,0.0,0.0,4696.692082353571
15,1,1,Monday,1,15,0,34.0,-0.6,17.387762798016205,0.0,0.0,2335.378207624766
16,1,1,Monday,1,16,0,41.5,-0.6,21.899435443740447,0.0,0.0,6132.423647226629
17,1,1,Monday,1,17,0,270.0,0.0,21.522302024008994,0.0,0.0,6031.001808605716
18,1,1,Monday,1,18,0,65.5,-1.1,20.424289282391946,2.0,0.0,4345.024761457645
19,1,1,Monday,1,19,0,0.0,-1.7,24.069192603587652,2.0,0.0,7992.333908348055
20,1,1,Monday,1,20,0,0.0,-1.1,19.680235622180874,2.0,0.0,2108.2883888526117
21,1,1,Monday,1,21,0,0.0,-1.7,21.375015774805814,2.0,0.0,5257.108222697629
22,1,1,Monday,1,22,0,0.0,-1.7,17.449827106847227,2.0,0.0,1111.4057935968542
23,1,1,Monday,1,23,0,0.0,-1.7,17.792599833480665,2.0,0.0,2839.853720989006
24,1,1,Monday,1,24,0,0.0,-1.7,15.542084175425378,2.0,0.0,1732.420165438554
25,1,2,Tuesday,2,1,0,0.0,-1.7,15.229067326449888,2.0,0.0,2133.727049271275
26,1,2,Tuesday,2,2,0,0.0,-1.7,18.568881612141737,2.0,0.0,4629.676478353038
27,1,2,Tuesday,2,3,0,0.0,-1.7,16.335622428050815,2.0,0.0,2934.5130374592145
28,1,2,Tuesday,2,4,0,0.0,-1.7,14.98037546298793,2.0,0.0,2186.090793901352
29,1,2,Tuesday,2,5,0,0.0,-2.2,15.66060282763352,2.0,0.0,3108.7503768094607
30,1,2,Tuesday,2,6,0,0.0,-2.2,15.965328715463928,2.0,0.0,4062.5418125694455
31,1,2,Tuesday,2,7,0,0.0,-2.2,16.76459646149499,2.0,0.0,4792.4710716890995
32,1,2,Tuesday,2,8,0,0.0,-2.2,15.167151635486615,2.0,0.0,2985.320503333257
33,1,2,Tuesday,2,9,0,279.5,-1.7,20.41368124839678,2.0,0.0,6691.403602810038
34,1,2,Tuesday,2,10,0,89.5,-1.7,19.302800283134765,1.0,0.0,6166.089572092912
35,1,2,Tuesday,2,11,0,0.0,-0.6,19.2661687226127,1.0,0.0,5041.780773763233
36,1,2,Tuesday,2,12,0,0.5,-0.6,19.102989424666195,0.0,0.0,4856.3974782672085
37,1,2,Tuesday,2,13,0,1.0,-0.6,21.009275255493,0.0,0.0,6705.36600808461
38,1,2,Tuesday,2,14,0,0.5,0.0,19.69049055904687,0.0,0.0,5052.878373858091
39,1,2,Tuesday,2,15,0,0.0,0.0,16.996545123681436,0.0,0.0,1824.8555860488966
40,1,2,Tuesday,2,16,0,2.5,-1.4,19.779035497228943,0.0,0.0,5284.656940953304
41,1,2,Tuesday,2,17,0,99.5,-1.7,20.758468886413098,1.0,0.0,6745.761644050875
42,1,2,Tuesday,2,18,0,38.5,-1.7,19.392470425035178,1.0,0.0,4503.551788130908
43,1,2,Tuesday,2,19,0,0.0,-1.95,21.04730076649557,0.0,0.0,6457.509484554692
44,1,2,Tuesday,2,20,0,0.0,-2.2,20.894858362667335,2.0,0.0,5755.950617650083
45,1,2,Tuesday,2,21,0,0.0,-2.2,21.097721679957495,2.0,0.0,6044.386330963452
46,1,2,Tuesday,2,22,0,0.0,-2.8,19.726931376670404,2.0,0.0,3627.088445212909
47,1,2,Tuesday,2,23,0,0.0,-2.8,19.972338196002262,2.0,0.0,5291.223419851218
48,1,2,Tuesday,2,24,0,0.0,-3.3,20.224147504555553,2.0,0.0,6188.245785604268
49,1,3,Wednesday,3,1,0,0.0,-3.9,19.04862911415401,2.0,0.0,5183.13712716338
50,1,3,Wednesday,3,2,0,0.0,-3.9,22.50561878381118,2.0,0.0,8802.633896676927
