bldg_id,capacity,nominal_power
resstock-amy2018-2021-release-1-100753,13.5,2.5
resstock-amy2018-2021-release-1-112208,13.5,2.5
resstock-amy2018-2021-release-1-116582,13.5,2.5
resstock-amy2018-2021-release-1-134804,13.5,2.5
resstock-amy2018-2021-release-1-156122,13.5,2.5
resstock-amy2018-2021-release-1-162203,13.5,2.5
resstock-amy2018-2021-release-1-179247,13.5,2.5
resstock-amy2018-2021-release-1-199613,13.5,2.5
resstock-amy2018-2021-release-1-20199,13.5,2.5
resstock-amy2018-2021-release-1-23587,13.5,2.5
resstock-amy2018-2021-release-1-247942,13.5,2.5
resstock-amy2018-2021-release-1-276908,13.5,2.5
resstock-amy2018-2021-release-1-283620,13.5,2.5
resstock-amy2018-2021-release-1-288697,13.5,2.5
resstock-amy2018-2021-release-1-319918,13.5,2.5
resstock-amy2018-2021-release-1-343568,13.5,2.5
resstock-amy2018-2021-release-1-355180,13.5,2.5
resstock-amy2018-2021-release-1-363259,13.5,2.5
resstock-amy2018-2021-release-1-376570,13.5,2.5
resstock-amy2018-2021-release-1-387179,13.5,2.5
resstock-amy2018-2021-release-1-391597,13.5,2.5
resstock-amy2018-2021-release-1-408344,13.5,2.5
resstock-amy2018-2021-release-1-409896,13.5,2.5
resstock-amy2018-2021-release-1-413928,13.5,2.5
resstock-amy2018-2021-release-1-420237,13.5,2.5
resstock-amy2018-2021-release-1-425540,13.5,2.5
resstock-amy2018-2021-release-1-426376,13.5,2.5
resstock-amy2018-2021-release-1-430942,13.5,2.5
resstock-amy2018-2021-release-1-4421,13.5,2.5
resstock-amy2018-2021-release-1-470533,13.5,2.5
resstock-amy2018-2021-release-1-481052,13.5,2.5
resstock-amy2018-2021-release-1-485614,13.5,2.5
resstock-amy2018-2021-release-1-508889,13.5,2.5
resstock-amy2018-2021-release-1-525859,13.5,2.5
resstock-amy2018-2021-release-1-532642,13.5,2.5
resstock-amy2018-2021-release-1-538628,13.5,2.5
resstock-amy2018-2021-release-1-546814,13.5,2.5
resstock-amy2018-2021-release-1-5634,13.5,2.5
resstock-amy2018-2021-release-1-65327,13.5,2.5
resstock-amy2018-2021-release-1-75252,13.5,2.5
resstock-amy2018-2021-release-1-76701,13.5,2.5
resstock-amy2018-2021-release-1-79194,13.5,2.5
resstock-amy2018-2021-release-1-86500,13.5,2.5
