bldg_id,nominal_power
resstock-amy2018-2021-release-1-100753,10.0
resstock-amy2018-2021-release-1-112208,10.0
resstock-amy2018-2021-release-1-116582,10.0
resstock-amy2018-2021-release-1-134804,10.0
resstock-amy2018-2021-release-1-156122,10.0
resstock-amy2018-2021-release-1-162203,10.0
resstock-amy2018-2021-release-1-179247,10.0
resstock-amy2018-2021-release-1-199613,10.0
resstock-amy2018-2021-release-1-20199,10.0
resstock-amy2018-2021-release-1-23587,10.0
resstock-amy2018-2021-release-1-247942,10.0
resstock-amy2018-2021-release-1-276908,10.0
resstock-amy2018-2021-release-1-283620,10.0
resstock-amy2018-2021-release-1-288697,10.0
resstock-amy2018-2021-release-1-319918,10.0
resstock-amy2018-2021-release-1-343568,10.0
resstock-amy2018-2021-release-1-355180,10.0
resstock-amy2018-2021-release-1-363259,10.0
resstock-amy2018-2021-release-1-376570,10.0
resstock-amy2018-2021-release-1-387179,10.0
resstock-amy2018-2021-release-1-391597,10.0
resstock-amy2018-2021-release-1-408344,10.0
resstock-amy2018-2021-release-1-409896,10.0
resstock-amy2018-2021-release-1-413928,10.0
resstock-amy2018-2021-release-1-420237,10.0
resstock-amy2018-2021-release-1-425540,10.0
resstock-amy2018-2021-release-1-426376,10.0
resstock-amy2018-2021-release-1-430942,10.0
resstock-amy2018-2021-release-1-4421,10.0
resstock-amy2018-2021-release-1-470533,10.0
resstock-amy2018-2021-release-1-481052,10.0
resstock-amy2018-2021-release-1-485614,10.0
resstock-amy2018-2021-release-1-508889,10.0
resstock-amy2018-2021-release-1-525859,10.0
resstock-amy2018-2021-release-1-532642,10.0
resstock-amy2018-2021-release-1-538628,10.0
resstock-amy2018-2021-release-1-546814,10.0
resstock-amy2018-2021-release-1-5634,10.0
resstock-amy2018-2021-release-1-65327,10.0
resstock-amy2018-2021-release-1-75252,10.0
resstock-amy2018-2021-release-1-76701,10.0
resstock-amy2018-2021-release-1-79194,10.0
resstock-amy2018-2021-release-1-86500,10.0
