timestep,month,day,day_name,day_of_week,hour,minute,direct_solar_radiation,outdoor_air_temperature,average_indoor_air_temperature,occupant_count,cooling_load,heating_load
1,1,1,Monday,1,1,0,0.0,-3.3,23.54380931759465,2.0,0.0,9345.86149852073
2,1,1,Monday,1,2,0,0.0,-3.3,21.314328341782655,2.0,0.0,6355.493097260828
3,1,1,Monday,1,3,0,0.0,-3.3,25.29213911404018,2.0,0.0,9714.194493926094
4,1,1,Monday,1,4,0,0.0,-3.3,22.72602913894768,2.0,0.0,7622.817551459068
5,1,1,Monday,1,5,0,0.0,-3.3,23.00426359891358,2.0,0.0,7566.172174341622
6,1,1,Monday,1,6,0,0.0,-3.3,19.426440222013827,2.0,0.0,3570.308572977523
7,1,1,Monday,1,7,0,0.0,-3.3,20.898699774171977,2.0,0.0,5590.6596769673915
8,1,1,Monday,1,8,0,0.0,-3.9,16.893991413196833,2.0,0.0,2020.5438118331733
9,1,1,Monday,1,9,0,22.0,-3.9,20.708150934430574,1.0,0.0,6941.165861924259
10,1,1,Monday,1,10,0,36.0,-3.3,20.11775102472449,0.0,0.0,6507.837615455532
11,1,1,Monday,1,11,0,83.0,-3.3,20.69806302483274,0.0,0.0,6645.42012739065
12,1,1,Monday,1,12,0,234.5,-1.7,18.643364034297626,0.0,0.0,3320.7593385761534
13,1,1,Monday,1,13,0,100.0,-1.1,23.920302348227203,0.0,0.0,7343.742166645427
14,1,1,Monday,1,14,0,68.0,-1.1,20.936858044185794,0.0,0.0,4609.076443923409
15,1,1,Monday,1,15,0,34.0,-0.6,18.22252367366491,0.0,0.0,2214.7357276709
16,1,1,Monday,1,16,0,41.5,-0.6,20.543439786312135,0.0,0.0,4979.083343804581
17,1,1,Monday,1,17,0,270.0,0.0,17.52160103092218,0.0,0.0,1260.5090824916017
18,1,1,Monday,1,18,0,65.5,-1.1,18.848081123629587,2.0,0.0,3684.7641950255643
19,1,1,Monday,1,19,0,0.0,-1.7,16.78196154155018,2.0,0.0,1947.1087914033224
20,1,1,Monday,1,20,0,0.0,-1.1,23.703548507112682,2.0,0.0,8398.824284160812
21,1,1,Monday,1,21,0,0.0,-1.7,20.822193883650133,2.0,0.0,4752.247632761615
22,1,1,Monday,1,22,0,0.0,-1.7,20.913063972212356,2.0,0.0,4624.412494308739
23,1,1,Monday,1,23,0,0.0,-1.7,20.162338805791464,2.0,0.0,4423.254190176758
24,1,1,Monday,1,24,0,0.0,-1.7,21.278972313007074,2.0,0.0,6022.875747941149
25,1,2,Tuesday,2,1,0,0.0,-1.7,19.563245313029906,2.0,0.0,4463.640373940898
26,1,2,Tuesday,2,2,0,0.0,-1.7,16.457732412594083,2.0,0.0,1874.68573803844
27,1,2,Tuesday,2,3,0,0.0,-1.7,19.279202067076575,2.0,0.0,5432.032666697522
28,1,2,Tuesday,2,4,0,0.0,-1.7,16.7468426435973,2.0,0.0,2601.397233819713
