timestep,month,day,day_name,day_of_week,hour,minute,direct_solar_radiation,outdoor_air_temperature,average_indoor_air_temperature,occupant_count,cooling_load,heating_load
1,1,1,Monday,1,1,0,0.0,-3.3,5.186240564317874,2.0,0.0,0
2,1,1,Monday,1,2,0,0.0,-3.3,4.869704832069518,2.0,0.0,0
3,1,1,Monday,1,3,0,0.0,-3.3,4.596915871400014,2.0,0.0,0
4,1,1,Monday,1,4,0,0.0,-3.3,4.308515002112004,2.0,0.0,0
5,1,1,Monday,1,5,0,0.0,-3.3,4.0200664256296434,2.0,0.0,0
6,1,1,Monday,1,6,0,0.0,-3.3,3.7739481080376747,2.0,0.0,0
7,1,1,Monday,1,7,0,0.0,-3.3,3.6361817474112827,2.0,0.0,0
8,1,1,Monday,1,8,0,0.0,-3.9,3.394494768316811,2.0,0.0,0
9,1,1,Monday,1,9,0,22.0,-3.9,3.727300202054151,1.0,0.0,0
10,1,1,Monday,1,10,0,36.0,-3.3,3.0677869651198435,0.0,0.0,0
11,1,1,Monday,1,11,0,83.0,-3.3,3.2146738909090176,0.0,0.0,0
12,1,1,Monday,1,12,0,234.5,-1.7,3.857722809447261,0.0,0.0,0
13,1,1,Monday,1,13,0,100.0,-1.1,4.152559286149392,0.0,0.0,0
14,1,1,Monday,1,14,0,68.0,-1.1,4.207289072505326,0.0,0.0,0
15,1,1,Monday,1,15,0,34.0,-0.6,4.777390855862484,0.0,0.0,0
16,1,1,Monday,1,16,0,41.5,-0.6,5.066391976039642,0.0,0.0,0
17,1,1,Monday,1,17,0,270.0,0.0,5.460476795542361,0.0,0.0,0
18,1,1,Monday,1,18,0,65.5,-1.1,5.70391302235401,2.0,0.0,0
19,1,1,Monday,1,19,0,0.0,-1.7,5.714463453926273,2.0,0.0,0
20,1,1,Monday,1,20,0,0.0,-1.1,5.956796988735232,2.0,0.0,0
21,1,1,Monday,1,21,0,0.0,-1.7,5.712648633736069,2.0,0.0,0
22,1,1,Monday,1,22,0,0.0,-1.7,5.880316823316985,2.0,0.0,0
23,1,1,Monday,1,23,0,0.0,-1.7,5.845282305556603,2.0,0.0,0
24,1,1,Monday,1,24,0,0.0,-1.7,5.207558177261893,2.0,0.0,0
25,1,2,Tuesday,2,1,0,0.0,-1.7,4.8912104106648755,2.0,0.0,0
26,1,2,Tuesday,2,2,0,0.0,-1.7,4.631247117416111,2.0,0.0,0
27,1,2,Tuesday,2,3,0,0.0,-1.7,4.427633437775611,2.0,0.0,0
28,1,2,Tuesday,2,4,0,0.0,-1.7,4.236605556972034,2.0,0.0,0
29,1,2,Tuesday,2,5,0,0.0,-2.2,3.9477461053033704,2.0,0.0,0
