bldg_id,capacity,nominal_power
resstock-amy2018-2021-release-1-100862,13.5,2.5
resstock-amy2018-2021-release-1-101010,13.5,2.5
resstock-amy2018-2021-release-1-120089,13.5,2.5
resstock-amy2018-2021-release-1-127757,13.5,2.5
resstock-amy2018-2021-release-1-130161,13.5,2.5
resstock-amy2018-2021-release-1-134795,13.5,2.5
resstock-amy2018-2021-release-1-144377,13.5,2.5
resstock-amy2018-2021-release-1-152107,13.5,2.5
resstock-amy2018-2021-release-1-168742,13.5,2.5
resstock-amy2018-2021-release-1-171887,13.5,2.5
resstock-amy2018-2021-release-1-174481,13.5,2.5
resstock-amy2018-2021-release-1-175576,13.5,2.5
resstock-amy2018-2021-release-1-179351,13.5,2.5
resstock-amy2018-2021-release-1-18098,13.5,2.5
resstock-amy2018-2021-release-1-182758,13.5,2.5
resstock-amy2018-2021-release-1-182813,13.5,2.5
resstock-amy2018-2021-release-1-191067,13.5,2.5
resstock-amy2018-2021-release-1-192120,13.5,2.5
resstock-amy2018-2021-release-1-192324,13.5,2.5
resstock-amy2018-2021-release-1-193057,13.5,2.5
resstock-amy2018-2021-release-1-195008,13.5,2.5
resstock-amy2018-2021-release-1-196943,13.5,2.5
resstock-amy2018-2021-release-1-207738,13.5,2.5
resstock-amy2018-2021-release-1-208830,13.5,2.5
resstock-amy2018-2021-release-1-211386,13.5,2.5
resstock-amy2018-2021-release-1-217777,13.5,2.5
resstock-amy2018-2021-release-1-218727,13.5,2.5
resstock-amy2018-2021-release-1-219891,13.5,2.5
resstock-amy2018-2021-release-1-223548,13.5,2.5
resstock-amy2018-2021-release-1-230338,13.5,2.5
resstock-amy2018-2021-release-1-234676,13.5,2.5
resstock-amy2018-2021-release-1-24194,13.5,2.5
resstock-amy2018-2021-release-1-250779,13.5,2.5
resstock-amy2018-2021-release-1-252982,13.5,2.5
resstock-amy2018-2021-release-1-253509,13.5,2.5
resstock-amy2018-2021-release-1-27020,13.5,2.5
resstock-amy2018-2021-release-1-278674,13.5,2.5
resstock-amy2018-2021-release-1-284775,13.5,2.5
resstock-amy2018-2021-release-1-290324,13.5,2.5
resstock-amy2018-2021-release-1-293830,13.5,2.5
resstock-amy2018-2021-release-1-29507,13.5,2.5
resstock-amy2018-2021-release-1-30223,13.5,2.5
resstock-amy2018-2021-release-1-308260,13.5,2.5
resstock-amy2018-2021-release-1-315536,13.5,2.5
resstock-amy2018-2021-release-1-317203,13.5,2.5
resstock-amy2018-2021-release-1-318269,13.5,2.5
resstock-amy2018-2021-release-1-319165,13.5,2.5
resstock-amy2018-2021-release-1-327174,13.5,2.5
resstock-amy2018-2021-release-1-328655,13.5,2.5
resstock-amy2018-2021-release-1-330868,13.5,2.5
resstock-amy2018-2021-release-1-331893,13.5,2.5
resstock-amy2018-2021-release-1-336393,13.5,2.5
resstock-amy2018-2021-release-1-34239,13.5,2.5
resstock-amy2018-2021-release-1-343509,13.5,2.5
resstock-amy2018-2021-release-1-347729,13.5,2.5
resstock-amy2018-2021-release-1-358693,13.5,2.5
resstock-amy2018-2021-release-1-360518,13.5,2.5
resstock-amy2018-2021-release-1-3615,13.5,2.5
resstock-amy2018-2021-release-1-363494,13.5,2.5
resstock-amy2018-2021-release-1-370815,13.5,2.5
resstock-amy2018-2021-release-1-371906,13.5,2.5
resstock-amy2018-2021-release-1-374138,13.5,2.5
resstock-amy2018-2021-release-1-378943,13.5,2.5
resstock-amy2018-2021-release-1-385375,13.5,2.5
resstock-amy2018-2021-release-1-400743,13.5,2.5
resstock-amy2018-2021-release-1-401146,13.5,2.5
resstock-amy2018-2021-release-1-401821,13.5,2.5
resstock-amy2018-2021-release-1-410766,13.5,2.5
resstock-amy2018-2021-release-1-417681,13.5,2.5
resstock-amy2018-2021-release-1-427553,13.5,2.5
resstock-amy2018-2021-release-1-428320,13.5,2.5
resstock-amy2018-2021-release-1-437061,13.5,2.5
resstock-amy2018-2021-release-1-437736,13.5,2.5
resstock-amy2018-2021-release-1-45446,13.5,2.5
resstock-amy2018-2021-release-1-45501,13.5,2.5
resstock-amy2018-2021-release-1-455393,13.5,2.5
resstock-amy2018-2021-release-1-458271,13.5,2.5
resstock-amy2018-2021-release-1-465443,13.5,2.5
resstock-amy2018-2021-release-1-474593,13.5,2.5
resstock-amy2018-2021-release-1-475756,13.5,2.5
resstock-amy2018-2021-release-1-479537,13.5,2.5
resstock-amy2018-2021-release-1-492646,13.5,2.5
resstock-amy2018-2021-release-1-50023,13.5,2.5
resstock-amy2018-2021-release-1-50072,13.5,2.5
resstock-amy2018-2021-release-1-511164,13.5,2.5
resstock-amy2018-2021-release-1-511802,13.5,2.5
resstock-amy2018-2021-release-1-512011,13.5,2.5
resstock-amy2018-2021-release-1-538446,13.5,2.5
resstock-amy2018-2021-release-1-542359,13.5,2.5
resstock-amy2018-2021-release-1-542954,13.5,2.5
resstock-amy2018-2021-release-1-544958,13.5,2.5
resstock-amy2018-2021-release-1-61010,13.5,2.5
resstock-amy2018-2021-release-1-6887,13.5,2.5
resstock-amy2018-2021-release-1-75148,13.5,2.5
resstock-amy2018-2021-release-1-78478,13.5,2.5
resstock-amy2018-2021-release-1-85296,13.5,2.5
resstock-amy2018-2021-release-1-85416,13.5,2.5
resstock-amy2018-2021-release-1-88708,13.5,2.5
resstock-amy2018-2021-release-1-96102,13.5,2.5
resstock-amy2018-2021-release-1-99336,13.5,2.5
